index,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Count,Global_Sales
3618,2007.0,0.29,0.17,0.04,0.05,83.0,64.0,259.0,0.55
3608,2007.0,0.48,0.03,0.0,0.05,58.0,31.0,32.0,0.56
14084,2003.0,0.03,0.01,0.0,0.0,55.0,22.0,5.0,0.04
2034,2013.0,0.43,0.42,0.0,0.17,83.0,31.0,33.0,1.02
1457,2005.0,0.24,0.03,1.03,0.04,71.0,34.0,78.0,1.34
491,2009.0,1.76,0.68,0.12,0.37,85.0,98.0,1172.0,2.93
6606,2012.0,0.15,0.08,0.0,0.02,52.0,35.0,126.0,0.25
2485,2003.0,0.62,0.18,0.01,0.03,77.0,45.0,49.0,0.83
8064,2010.0,0.13,0.04,0.0,0.01,69.0,6.0,4.0,0.18
10725,2015.0,0.0,0.08,0.0,0.01,71.0,28.0,94.0,0.1
790,2015.0,0.71,0.94,0.14,0.32,73.0,46.0,845.0,2.1
12198,2014.0,0.01,0.05,0.0,0.0,53.0,17.0,44.0,0.07
9332,2006.0,0.07,0.05,0.0,0.02,58.0,6.0,17.0,0.13
2353,2008.0,0.41,0.37,0.01,0.09,68.0,43.0,40.0,0.88
4767,2009.0,0.26,0.03,0.1,0.02,77.0,10.0,46.0,0.4
6470,2013.0,0.1,0.01,0.14,0.01,80.0,41.0,89.0,0.26
8957,2009.0,0.11,0.02,0.0,0.01,69.0,31.0,15.0,0.15
13823,2002.0,0.02,0.02,0.0,0.01,31.0,5.0,8.0,0.04
665,2004.0,2.28,0.02,0.08,0.0,96.0,81.0,8665.0,2.37
5530,2006.0,0.25,0.07,0.0,0.01,63.0,11.0,11.0,0.33
1406,2001.0,0.67,0.53,0.0,0.18,81.0,21.0,18.0,1.38
11927,2009.0,0.05,0.0,0.02,0.0,70.0,5.0,5.0,0.07
4038,2006.0,0.37,0.11,0.0,0.02,76.0,41.0,46.0,0.49
2293,2004.0,0.44,0.35,0.0,0.12,78.0,36.0,9.0,0.9
1714,2012.0,0.9,0.19,0.0,0.09,77.0,23.0,36.0,1.18
13227,2007.0,0.05,0.0,0.0,0.0,43.0,16.0,5.0,0.05
737,2007.0,2.01,0.02,0.0,0.17,92.0,55.0,220.0,2.2
13267,2016.0,0.04,0.0,0.0,0.01,66.0,8.0,18.0,0.05
11549,2001.0,0.04,0.03,0.0,0.01,39.0,4.0,4.0,0.08
8763,2007.0,0.12,0.01,0.0,0.02,81.0,31.0,16.0,0.15
2307,2013.0,0.63,0.13,0.0,0.15,74.0,13.0,118.0,0.9
8092,2015.0,0.04,0.02,0.09,0.02,71.0,4.0,34.0,0.18
1978,2014.0,0.46,0.41,0.01,0.17,70.0,57.0,279.0,1.05
2724,2010.0,0.47,0.19,0.0,0.1,86.0,46.0,22.0,0.75
13561,2008.0,0.04,0.0,0.0,0.0,69.0,23.0,21.0,0.04
487,2003.0,2.22,0.51,0.06,0.15,87.0,42.0,93.0,2.94
4861,2005.0,0.26,0.11,0.0,0.02,77.0,53.0,20.0,0.39
11547,2011.0,0.05,0.03,0.0,0.01,49.0,41.0,16.0,0.08
8225,2009.0,0.16,0.0,0.0,0.01,61.0,19.0,6.0,0.17
346,2002.0,2.53,0.81,0.06,0.24,82.0,42.0,82.0,3.65
2722,2009.0,0.28,0.39,0.0,0.08,58.0,22.0,8.0,0.75
11014,2006.0,0.07,0.0,0.02,0.01,68.0,11.0,17.0,0.09
903,1996.0,0.26,0.16,1.46,0.03,92.0,15.0,48.0,1.92
4988,2015.0,0.26,0.05,0.0,0.07,78.0,51.0,87.0,0.38
9776,2008.0,0.11,0.0,0.0,0.01,49.0,26.0,11.0,0.12
8755,2002.0,0.11,0.03,0.0,0.01,53.0,19.0,5.0,0.15
1014,2007.0,1.0,0.53,0.03,0.18,83.0,75.0,340.0,1.75
3,2009.0,15.61,10.93,3.28,2.95,80.0,73.0,192.0,32.77
12200,2009.0,0.01,0.04,0.0,0.01,86.0,30.0,597.0,0.07
8439,2007.0,0.11,0.01,0.03,0.01,57.0,23.0,10.0,0.17
97,2010.0,3.56,2.35,0.98,0.62,97.0,87.0,1854.0,7.51
1602,2005.0,0.85,0.03,0.22,0.14,81.0,51.0,155.0,1.24
7513,2006.0,0.06,0.0,0.14,0.01,33.0,31.0,47.0,0.2
3758,2010.0,0.15,0.07,0.27,0.05,87.0,49.0,102.0,0.53
6098,2014.0,0.0,0.27,0.0,0.02,82.0,9.0,383.0,0.28
2966,2004.0,0.34,0.26,0.0,0.09,78.0,44.0,54.0,0.68
7430,2004.0,0.17,0.04,0.0,0.01,64.0,27.0,20.0,0.21
11965,2008.0,0.07,0.0,0.0,0.01,78.0,15.0,18.0,0.07
10983,2005.0,0.04,0.03,0.0,0.01,71.0,13.0,10.0,0.09
12292,2005.0,0.05,0.01,0.0,0.0,63.0,17.0,4.0,0.06
